hex_id,hex_area,canopykmsq,canopy_per,centroid_x,centroid_y
10711249,106088.115,34192.127,32.23,506296.1797,182275.7975
10711251,106088.115,19639.603,18.513,506296.1797,182625.7975
10711253,106088.115,29111.953,27.441,506296.1797,182975.7975
10711255,106088.115,26664.509,25.134,506296.1797,183325.7975
10711257,106088.115,27850.428,26.252,506296.1797,183675.7975
10711259,106088.115,30515.82,28.765,506296.1797,184025.7975
10711261,106088.115,27616.902,26.032,506296.1797,184375.7975
10711263,106088.115,17248.064,16.258,506296.1797,184725.7975
10711265,106088.115,37704.152,35.54,506296.1797,185075.7975
10711267,106088.115,57415.134,54.12,506296.1797,185425.7975
10711269,106088.115,33246.859,31.339,506296.1797,185775.7975
10711271,106088.115,29330.1,27.647,506296.1797,186125.7975
10711273,106088.115,18443.923,17.385,506296.1797,186475.7975
10711275,106088.115,5411.621,5.101,506296.1797,186825.7975
10711277,106088.115,28528.691,26.892,506296.1797,187175.7975
10711279,106088.115,76563.521,72.17,506296.1797,187525.7975
10711281,106088.115,20229.112,19.068,506296.1797,187875.7975
10711283,106088.115,5775.77,5.444,506296.1797,188225.7975
10711285,106088.115,10843.951,10.222,506296.1797,188575.7975
10711287,106088.115,28267.709,26.646,506296.1797,188925.7975
10711289,106088.115,31895.641,30.065,506296.1797,189275.7975
10711291,106088.115,13588.431,12.809,506296.1797,189625.7975
10711293,106088.115,19356.144,18.245,506296.1797,189975.7975
10711295,106088.115,13975.42,13.173,506296.1797,190325.7975
10711297,106088.115,6300.251,5.939,506296.1797,190675.7975
10711299,106088.115,8663.652,8.166,506296.1797,191025.7975
10711301,106088.115,11508.312,10.848,506296.1797,191375.7975
10711303,106088.115,42119.104,39.702,506296.1797,191725.7975
10721204,106088.115,485.519,0.458,506599.2886,174400.7975
10721206,106088.115,0,0.0,506599.2886,174750.7975
10721208,106088.115,0,0.0,506599.2886,175100.7975
10721210,106088.115,0,0.0,506599.2886,175450.7975
10721212,106088.115,0,0.0,506599.2886,175800.7975
10721214,106088.115,0,0.0,506599.2886,176150.7975
10721216,106088.115,0,0.0,506599.2886,176500.7975
10721218,106088.115,1041.341,0.982,506599.2886,176850.7975
10721220,106088.115,1075.928,1.014,506599.2886,177200.7975
